SRR6520426	K12_D042253
SRR6520427	K13_D042253
SRR6520428	K14_D042253
SRR6520429	K15_D042253
SRR6520430	K16_D042253
SRR6520431	K17_D042253
SRR6520432	K18_D042253
SRR6520433	H13_B000610
SRR6520434	K19_D042253
SRR6520435	K20_D042253
SRR6520436	K21_D042253
SRR6520437	K22_D042253
SRR6520438	L1_D042253
SRR6520439	L2_D042253
SRR6520440	L3_D042253
SRR6520441	L4_D042253
SRR6520442	L5_D042253
SRR6520443	L6_D042253
SRR6520444	H13_B000610
SRR6520445	L7_D042253
SRR6520446	L8_D042253
SRR6520447	L9_D042253
SRR6520448	L10_D042253
SRR6520449	L11_D042253
SRR6520450	L12_D042253
SRR6520451	L13_D042253
SRR6520452	L14_D042253
SRR6520453	L15_D042253
SRR6520454	L16_D042253
SRR6520455	H14_B000610
SRR6520456	L17_D042253
SRR6520457	L18_D042253
SRR6520458	L19_D042253
SRR6520459	L20_D042253
SRR6520460	L21_D042253
SRR6520461	L22_D042253
SRR6520462	M1_D042253
SRR6520463	M2_D042253
SRR6520464	M3_D042253
SRR6520465	M4_D042253
SRR6520466	H14_B000610
SRR6520467	M5_D042253
SRR6520468	M6_D042253
SRR6520469	M7_D042253
SRR6520470	M8_D042253
SRR6520471	M9_D042253
SRR6520472	M10_D042253
SRR6520473	M11_D042253
SRR6520474	M12_D042253
SRR6520475	M13_D042253
SRR6520476	M14_D042253
SRR6520477	H16_B000610
SRR6520478	M15_D042253
SRR6520479	M16_D042253
SRR6520480	M17_D042253
SRR6520481	M18_D042253
SRR6520482	M19_D042253
SRR6520483	M20_D042253
SRR6520484	M21_D042253
SRR6520485	N1_D042253
SRR6520486	N2_D042253
SRR6520487	N3_D042253
SRR6520488	H16_B000610
SRR6520489	N4_D042253
SRR6520490	N6_D042253
SRR6520491	N7_D042253
SRR6520492	N8_D042253
SRR6520493	N9_D042253
SRR6520494	N10_D042253
SRR6520495	N11_D042253
SRR6520496	N12_D042253
SRR6520497	N13_D042253
SRR6520498	N14_D042253
SRR6520499	I3_B000610
SRR6520500	N15_D042253
SRR6520501	N16_D042253
SRR6520502	N17_D042253
SRR6520503	N18_D042253
SRR6520504	N19_D042253
SRR6520505	N20_D042253
SRR6520506	N21_D042253
SRR6520507	N22_D042253
SRR6520508	O1_D042253
